frame,timestamp_ms,left_x,right_x,width_px
340,5666.666666666667,1431,1919,489
341,5683.333333333333,1431,1919,489
342,5700.0,1431,1919,489
343,5716.666666666667,1431,1919,489
344,5733.333333333333,1431,1919,489
345,5750.0,1431,1919,489
346,5766.666666666667,1431,1919,489
347,5783.333333333333,1431,1919,489
348,5800.0,1431,1919,489
349,5816.666666666667,1431,1919,489
350,5833.333333333333,1431,1919,489
351,5850.0,1431,1919,489
352,5866.666666666667,1431,1919,489
353,5883.333333333333,1431,1919,489
354,5900.0,1431,1919,489
355,5916.666666666667,1431,1919,489
356,5933.333333333333,1431,1919,489
357,5950.0,1431,1919,489
358,5966.666666666667,1431,1919,489
359,5983.333333333333,1431,1919,489
360,6000.0,1431,1919,489
361,6016.666666666667,1431,1919,489
362,6033.333333333333,1431,1919,489
363,6050.0,1431,1919,489
364,6066.666666666667,1431,1919,489
365,6083.333333333333,1431,1919,489
366,6100.0,1431,1919,489
367,6116.666666666667,1431,1919,489
368,6133.333333333333,1431,1919,489
369,6150.0,1431,1919,489
370,6166.666666666667,1431,1919,489
371,6183.333333333333,1431,1919,489
372,6200.0,1431,1919,489
373,6216.666666666667,1431,1919,489
374,6233.333333333333,1431,1919,489
375,6250.0,1431,1919,489
376,6266.666666666667,1431,1919,489
377,6283.333333333333,1431,1919,489
378,6300.0,1431,1919,489
379,6316.666666666667,1431,1919,489
380,6333.333333333333,1431,1919,489
381,6350.0,1431,1919,489
382,6366.666666666667,1431,1919,489
383,6383.333333333333,1431,1919,489
384,6400.0,1431,1919,489
385,6416.666666666667,1431,1919,489
386,6433.333333333333,1431,1919,489
387,6450.0,1431,1919,489
388,6466.666666666667,1431,1919,489
389,6483.333333333333,1431,1919,489
390,6500.0,1431,1919,489
391,6516.666666666667,1431,1919,489
392,6533.333333333333,1431,1919,489
393,6550.0,1431,1919,489
394,6566.666666666667,1431,1919,489
395,6583.333333333333,1431,1919,489
396,6600.0,1703,1919,217
397,6616.666666666667,1717,1919,203
398,6633.333333333333,1730,1919,190
399,6650.0,1741,1919,179
400,6666.666666666667,1752,1919,168
401,6683.333333333333,1762,1919,158
402,6700.0,1771,1919,149
403,6716.666666666667,1780,1919,140
404,6733.333333333333,1788,1919,132
405,6750.0,1795,1919,125
406,6766.666666666667,1802,1919,118
407,6783.333333333333,1808,1919,112
408,6800.0,1815,1919,105
409,6816.666666666667,1820,1919,100
410,6833.333333333333,1826,1919,94
411,6850.0,1832,1919,88
412,6866.666666666667,1837,1919,83
413,6883.333333333333,1842,1919,78
414,6900.0,1847,1919,73
415,6916.666666666667,1852,1919,68
416,6933.333333333333,1856,1919,64
417,6950.0,1860,1919,60
418,6966.666666666667,1864,1919,56
419,6983.333333333333,1868,1919,52
420,7000.0,1871,1919,49
421,7016.666666666667,1875,1919,45
422,7033.333333333333,1878,1919,42
423,7050.0,1881,1919,39
424,7066.666666666667,1884,1919,36
425,7083.333333333333,1886,1919,34
426,7100.0,1889,1919,31
427,7116.666666666667,1891,1919,29
428,7133.333333333333,1893,1919,27
429,7150.0,,,0
