frame,timestamp_ms,red_x_visible,red_y_visible,red_w_visible,red_h_visible,red_area,scale_vs_298_if_full_width,inferred_top_y_if_full_width,visible_bottom_y,red_cx,red_cy
80,1333.3333333333333,36.0,0.0,312.0,380.0,81975.0,1.0469798657718121,21.93288590604027,380.0,190.78691064348888,184.5132174443428
81,1350.0,38.0,0.0,312.0,380.0,81687.0,1.0469798657718121,21.93288590604027,380.0,192.32361330444257,184.58656824219275
82,1366.6666666666667,40.0,0.0,316.0,380.0,81596.0,1.0604026845637584,17.342281879194616,380.0,193.85007843521743,184.78930339722532
83,1383.3333333333333,40.0,0.0,316.0,380.0,81556.0,1.0604026845637584,17.342281879194616,380.0,195.0660405120408,185.0515106184708
84,1400.0,42.0,0.0,316.0,380.0,81432.0,1.0604026845637584,17.342281879194616,380.0,196.7732463896257,184.96707682483543
85,1416.6666666666667,42.0,0.0,318.0,380.0,81369.0,1.0671140939597314,15.046979865771846,380.0,198.04322284899652,185.2269783332719
86,1433.3333333333333,42.0,0.0,320.0,380.0,81232.0,1.0738255033557047,12.751677852349019,380.0,199.33424020090604,185.4530849911365
87,1450.0,44.0,0.0,320.0,382.0,81178.0,1.0738255033557047,14.751677852349019,382.0,200.5819803395009,185.5742935278031
88,1466.6666666666667,46.0,0.0,320.0,380.0,80761.0,1.0738255033557047,12.751677852349019,380.0,201.73890863164152,185.64645063830315
89,1483.3333333333333,46.0,0.0,322.0,380.0,80193.0,1.080536912751678,10.456375838926135,380.0,202.0028306710062,185.7374334418216
90,1500.0,46.0,0.0,324.0,382.0,79865.0,1.087248322147651,10.161073825503365,382.0,203.1219558004132,185.96167282288863
91,1516.6666666666667,48.0,0.0,322.0,384.0,79683.0,1.080536912751678,14.456375838926135,384.0,204.04694853356423,186.17877087961045
92,1533.3333333333333,48.0,0.0,324.0,382.0,79348.0,1.087248322147651,10.161073825503365,382.0,205.5862529616373,186.16818319302317
93,1550.0,50.0,0.0,324.0,382.0,79337.0,1.087248322147651,10.161073825503365,382.0,206.54762595006116,186.5305973253337
94,1566.6666666666667,50.0,0.0,326.0,382.0,79167.0,1.0939597315436242,7.865771812080482,382.0,207.9512675736102,186.70352545884015
95,1583.3333333333333,52.0,0.0,326.0,382.0,78804.0,1.0939597315436242,7.865771812080482,382.0,208.8197172732349,186.9090782193797
96,1600.0,52.0,0.0,328.0,382.0,78472.0,1.1006711409395973,5.570469798657712,382.0,210.09684983178715,187.06429044754816
97,1616.6666666666667,54.0,0.0,326.0,382.0,78320.0,1.0939597315436242,7.865771812080482,382.0,211.2241573033708,187.32951991828395
98,1633.3333333333333,54.0,0.0,328.0,384.0,78066.0,1.1006711409395973,7.570469798657712,384.0,212.06658468475396,187.7095662644429
99,1650.0,56.0,0.0,328.0,384.0,78011.0,1.1006711409395973,7.570469798657712,384.0,213.29072823063413,187.97411903449515
100,1666.6666666666667,56.0,0.0,328.0,384.0,77792.0,1.1006711409395973,7.570469798657712,384.0,214.29190662278896,188.3261774989716
101,1683.3333333333333,58.0,0.0,328.0,384.0,77538.0,1.1006711409395973,7.570469798657712,384.0,215.2046222497356,188.69030668833344
102,1700.0,58.0,0.0,328.0,384.0,77582.0,1.1006711409395973,7.570469798657712,384.0,216.5001417854657,189.13128045165115
103,1716.6666666666667,60.0,0.0,328.0,384.0,77417.0,1.1006711409395973,7.570469798657712,384.0,217.8017231357454,189.50745960189624
104,1733.3333333333333,60.0,0.0,330.0,384.0,77309.0,1.1073825503355705,5.275167785234885,384.0,218.76472338278856,190.01752706670632
105,1750.0,60.0,0.0,330.0,384.0,77298.0,1.1073825503355705,5.275167785234885,384.0,220.03877202514943,190.4558332686486
106,1766.6666666666667,62.0,0.0,330.0,386.0,77295.0,1.1073825503355705,7.275167785234885,386.0,221.1316773400608,191.0849214050068
107,1783.3333333333333,62.0,0.0,330.0,386.0,77117.0,1.1073825503355705,7.275167785234885,386.0,222.32038331366624,191.55660878924232
108,1800.0,64.0,2.0,330.0,384.0,76905.0,1.1073825503355705,7.275167785234885,386.0,223.19130095572456,192.14238346011317
109,1816.6666666666667,64.0,2.0,330.0,384.0,76896.0,1.1073825503355705,7.275167785234885,386.0,224.55196629213484,192.6333879525593
110,1833.3333333333333,66.0,2.0,330.0,382.0,76665.0,1.1073825503355705,5.275167785234885,384.0,225.5848953238114,193.0305615339464
111,1850.0,66.0,4.0,330.0,380.0,76804.0,1.1073825503355705,5.275167785234885,384.0,227.0363652934743,193.687646476746
112,1866.6666666666667,66.0,4.0,330.0,382.0,76544.0,1.1073825503355705,7.275167785234885,386.0,227.7652591973244,194.1938362249164
113,1883.3333333333333,68.0,4.0,330.0,382.0,76620.0,1.1073825503355705,7.275167785234885,386.0,229.15334116418688,194.6785826155051
114,1900.0,68.0,6.0,330.0,380.0,76455.0,1.1073825503355705,7.275167785234885,386.0,229.4884703420313,195.04172388986987
115,1916.6666666666667,68.0,6.0,332.0,380.0,76399.0,1.1140939597315436,4.979865771812115,386.0,230.5306744852681,195.3253183942198
116,1933.3333333333333,70.0,10.0,330.0,376.0,76273.0,1.1073825503355705,7.275167785234885,386.0,231.2953863097033,195.7404979481599
117,1950.0,70.0,11.0,332.0,375.0,76327.0,1.1140939597315436,4.979865771812115,386.0,232.18406330656256,196.18656569759065
118,1966.6666666666667,70.0,12.0,332.0,374.0,76457.0,1.1140939597315436,4.979865771812115,386.0,232.791189819114,196.68690898151905
119,1983.3333333333333,72.0,14.0,330.0,372.0,76452.0,1.1073825503355705,7.275167785234885,386.0,233.14641866792235,197.0954455082928
120,2000.0,72.0,15.0,332.0,371.0,76777.0,1.1140939597315436,4.979865771812115,386.0,233.93561873998723,197.68722403844905
121,2016.6666666666667,72.0,14.0,332.0,372.0,76977.0,1.1140939597315436,4.979865771812115,386.0,234.35999064655675,197.8950465723528
122,2033.3333333333333,74.0,14.0,330.0,372.0,77041.0,1.1073825503355705,7.275167785234885,386.0,234.68673823029297,198.04092626004336
123,2050.0,74.0,12.0,330.0,374.0,77060.0,1.1073825503355705,7.275167785234885,386.0,234.86869971450815,198.3347651180898
124,2066.6666666666665,74.0,10.0,332.0,376.0,77199.0,1.1140939597315436,4.979865771812115,386.0,235.40232386429875,198.57987797769405
125,2083.3333333333335,75.0,10.0,331.0,378.0,77102.0,1.110738255033557,8.1275167785235,388.0,236.22230292340015,198.63410806464165
126,2100.0,76.0,10.0,330.0,378.0,77148.0,1.1073825503355705,9.275167785234885,388.0,237.21209882304143,199.05883496655775
127,2116.6666666666665,76.0,12.0,330.0,376.0,77271.0,1.1073825503355705,9.275167785234885,388.0,238.02136635995396,199.2460431468468
128,2133.3333333333335,76.0,12.0,330.0,376.0,76954.0,1.1073825503355705,9.275167785234885,388.0,238.92143358369933,199.3223094316085
129,2150.0,77.0,12.0,329.0,376.0,76814.0,1.104026845637584,10.422818791946327,388.0,239.38712995026947,199.39176452209236
130,2166.6666666666665,78.0,12.0,328.0,376.0,76263.0,1.1006711409395973,11.570469798657712,388.0,239.96392746154757,199.312025490736
131,2183.3333333333335,78.0,12.0,328.0,374.0,75727.0,1.1006711409395973,9.570469798657712,386.0,240.3743314801854,199.4328707066172
132,2200.0,78.0,14.0,330.0,372.0,75330.0,1.1073825503355705,7.275167785234885,386.0,240.77189698659237,199.49015000663744
133,2216.6666666666665,78.0,14.0,328.0,372.0,74881.0,1.1006711409395973,9.570469798657712,386.0,241.38498417489083,199.73854515831783
