frame,timestamp_ms,red_x_visible,red_y_visible,red_w_visible,red_h_visible,red_area,scale_vs_298_if_full_width,inferred_top_y_if_full_width,visible_bottom_y,red_cx,red_cy
34,566.6666666666666,0.0,0.0,16.0,96.0,1087.0,0.053691275167785234,77.63758389261744,96.0,5.494020239190433,41.017479300827965
35,583.3333333333334,0.0,0.0,32.0,214.0,4275.0,0.10738255033557047,177.27516778523488,214.0,11.04046783625731,83.09614035087719
36,600.0,0.0,0.0,46.0,258.0,7885.0,0.15436241610738255,205.20805369127515,258.0,17.27736207989854,100.0003804692454
37,616.6666666666666,0.0,0.0,60.0,294.0,11854.0,0.20134228187919462,225.14093959731542,294.0,23.24287160452168,112.66154884427198
38,633.3333333333334,0.0,0.0,74.0,324.0,16099.0,0.2483221476510067,239.0738255033557,324.0,28.84272315050624,123.87750791974656
39,650.0,0.0,0.0,87.0,352.0,20424.0,0.29194630872483224,252.15436241610738,352.0,34.27839796318057,132.55718762240502
40,666.6666666666666,0.0,0.0,100.0,358.0,24858.0,0.33557046979865773,243.23489932885906,358.0,39.7005792903693,139.73320460214015
41,683.3333333333334,0.0,0.0,112.0,360.0,29072.0,0.37583892617449666,231.46308724832215,360.0,45.07443588332416,144.60501513483766
42,700.0,0.0,0.0,123.0,360.0,33138.0,0.412751677852349,218.83892617449663,360.0,50.35997947975135,148.1706198322168
43,716.6666666666666,0.0,0.0,134.0,360.0,37096.0,0.44966442953020136,206.21476510067114,360.0,55.70471209833944,151.00331572137156
44,733.3333333333334,0.0,0.0,144.0,362.0,40753.0,0.48322147651006714,196.73825503355704,362.0,60.85672220450028,153.40097661521853
45,750.0,0.0,0.0,155.0,362.0,44115.0,0.5201342281879194,184.11409395973155,362.0,66.10808115153576,155.15917488382635
46,766.6666666666666,0.0,0.0,164.0,364.0,47316.0,0.5503355704697986,175.78523489932886,364.0,71.29738354890523,156.6555921886888
47,783.3333333333334,0.0,0.0,174.0,364.0,50458.0,0.5838926174496645,164.30872483221475,364.0,76.43872131277499,158.25448888184232
48,800.0,0.0,0.0,183.0,364.0,53338.0,0.6140939597315436,153.9798657718121,364.0,81.48410139112828,159.425156548802
49,816.6666666666666,0.0,0.0,192.0,366.0,56129.0,0.6442953020134228,145.65100671140942,366.0,86.35904790749879,160.55849917155126
50,833.3333333333334,0.0,0.0,200.0,366.0,58709.0,0.6711409395973155,136.46979865771812,366.0,91.1805345006728,161.4593844214686
51,850.0,0.0,0.0,208.0,366.0,61191.0,0.697986577181208,127.28859060402684,366.0,95.87691000310504,162.3837002173522
52,866.6666666666666,0.0,0.0,216.0,368.0,63534.0,0.7248322147651006,120.10738255033559,368.0,100.46513677715868,163.01817924261024
53,883.3333333333334,0.0,0.0,224.0,368.0,65841.0,0.7516778523489933,110.92617449664431,368.0,104.88888382618732,163.73205145729864
