frame,timestamp_ms,pixels,normal_center,normal_p10,normal_p90,normal_width80,cx,cy,badge_x,badge_y,badge_w,badge_h
226,3766.6666666666665,233,380.3758274968267,354.43319604494866,397.14408438024276,42.7108883352941,349.06437768240346,152.51502145922746,64,0,344,384
227,3783.3333333333335,234,380.4147260323148,354.48544590142023,397.2690592171263,42.78361331570608,349.0128205128205,152.88888888888889,66,0,344,384
228,3800.0,233,380.3758274968267,354.43319604494866,397.14408438024276,42.7108883352941,349.06437768240346,152.51502145922746,68,0,342,384
229,3816.6666666666665,234,380.34854133156796,354.48544590142023,397.10069727748214,42.615251376061906,349.05982905982904,152.4102564102564,68,0,342,384
230,3833.3333333333335,232,380.34854133156796,354.380946188477,396.7881248044467,42.407178615969656,348.98706896551727,152.35344827586206,70,0,340,384
231,3850.0,233,380.3758274968267,354.43319604494866,397.14408438024276,42.7108883352941,349.06437768240346,152.51502145922746,70,0,340,384
232,3866.6666666666665,600,127.51615405185423,120.45561238687051,132.75437663916307,12.298764252292557,87.41166666666666,100.46,72,0,338,384
233,3883.3333333333335,1102,134.18517074536393,124.58934980448491,140.25884951291164,15.669499708426727,91.14791288566244,106.32123411978222,72,0,338,386
234,3900.0,2292,142.86232320196123,128.7431352035671,151.70698331325758,22.963848109690474,97.53403141361257,111.82547993019197,74,0,336,386
235,3916.6666666666665,3683,151.4576171627823,133.27714596553238,162.78561945514076,29.508473489608377,104.44556068422482,116.17757263100734,74,0,336,386
236,3933.3333333333335,6120,162.1040068469791,139.57263395664327,176.6183237183107,37.04568976166743,113.1156862745098,121.75424836601307,76,0,334,386
237,3950.0,7192,170.79141786553907,149.4272253250152,186.8284055200211,37.40118019500591,122.93506674082313,123.61735261401557,76,0,334,386
238,3966.6666666666665,8612,182.51279846095986,162.5162777040468,202.42285777399005,39.90658006994326,135.8952624245239,128.17301439851371,78,2,332,384
239,3983.3333333333335,9787,201.63101745818008,178.22122842731733,219.6093842708322,41.38815584351488,151.16184734852357,136.60917543680392,80,7,330,381
240,4000.0,11129,217.5939379431046,196.16685184165897,235.56315962127135,39.396307779612386,167.71740497798544,141.13424386737353,80,10,332,378
241,4016.6666666666665,10783,232.09965120325754,214.52759849129976,253.35945841167236,38.83185992037261,183.5700639896133,146.6964666604841,80,8,330,380
242,4033.3333333333335,10631,255.7320617426435,234.19776831172135,273.88443448967473,39.686666177953384,201.14373059919106,159.56259994356128,82,8,330,380
243,4050.0,9799,275.2719674930701,258.8886533014779,293.1945109286512,34.30585762717328,218.00224512705378,172.2426778242678,82,8,330,380
244,4066.6666666666665,7526,297.4268636836845,281.8256423883822,313.9865902836718,32.16094789528955,234.62490034546903,186.85370714855168,82,10,330,378
245,4083.3333333333335,8159,323.6174047160581,306.22314860162606,338.29279172413675,32.06964312251068,255.17293786003188,201.46329207010663,84,10,328,378
246,4100.0,7150,343.08685434101255,330.0433131579832,356.92900488118516,26.885691723201944,271.0586013986014,214.42811188811189,84,12,328,376
247,4116.666666666667,6199,367.0923664403248,352.46186510497154,379.8921970867348,27.43033198176329,286.210195192773,234.63300532343928,84,12,328,376
248,4133.333333333333,4881,388.1479031709151,377.54504535117707,398.5378869016499,20.99284155047286,298.00061462814995,256.01905347264903,86,12,326,376
249,4150.0,2989,409.3234150286737,400.05884911491023,416.1881102079503,16.129261093040043,318.6523921043827,261.68350618936097,86,14,326,374
250,4166.666666666667,807,422.61499893477566,398.3617756357722,435.37185800177656,37.01008236600438,377.14869888475835,190.18587360594796,86,14,326,374
251,4183.333333333333,227,441.5654395156435,432.99754610091526,449.62499797159927,16.627451870684013,395.84140969162996,198.12334801762114,86,14,326,374
252,4200.0,233,380.3758274968267,354.43319604494866,396.7792620507357,42.346066005787065,348.85836909871244,152.57081545064378,88,14,324,374
253,4216.666666666667,236,380.25236284902905,353.98558855387125,396.7526737896029,42.767085235731656,349.0720338983051,151.5635593220339,88,16,324,372
254,4233.333333333333,239,380.3758274968267,354.09322302582035,396.72608552847004,42.63286250264969,349.4728033472803,151.21757322175733,88,16,324,372
